Binary,Event Type,Event
/usr/bin/syslog,notify_post,com.apple.asl.remote
/usr/bin/syslog,notify_post,com.apple.system.syslog.master
/usr/libexec/nehelper,notify_post,com.apple.networkextension.apps-changed
/usr/libexec/nehelper,notify_post,com.apple.networkextension.ondemandcachechanged
/usr/libexec/nehelper,notify_post,com.apple.networkextension.uuidcache
/usr/libexec/nehelper,notify_register_check,com.apple.networkextension.uuidcache
/usr/libexec/logd,notify_post,com.apple.system.logging.prefschanged
/usr/libexec/TouchBarServer,,??
/usr/libexec/testmanagerd,,??
/usr/libexec/studentd,notify_post,com.apple.studentd.configuration.didchange
/usr/libexec/studentd,notify_post,com.apple.classroom.recvbg.enabled
/usr/libexec/studentd,notify_post,com.apple.classroom.recvbg.disabled
/usr/libexec/studentd,notify_register_check,com.apple.system.powersources.percent
/usr/libexec/studentd,notify_register_check,com.apple.studentd.configuration.didchange
/usr/libexec/studentd,notify_register_check,com.apple.system.powersources.source
/usr/libexec/studentd,notify_register_check,com.apple.system.powersources.attach
/usr/libexec/studentd,notify_register_check,com.apple.airplay.prefsChanged
/usr/libexec/sharingd,notify_post,com.apple.ContinuityKeyBoard.enabled
/usr/libexec/sharingd,notify_post,com.apple.sharing.airdrop-mode-changed
/usr/libexec/sharingd,notify_post,com.apple.sharing.privacy-changed
/usr/libexec/sharingd,notify_post,com.apple.sharing.problems
/usr/libexec/sharingd,notify_post,com.apple.applepay.proximity
/usr/libexec/sharingd,notify_post,com.apple.sharing.activity-level-changed
/usr/libexec/sharingd,notify_post,com.apple.sharingd.BluetoothPowerChanged
/usr/libexec/sharingd,notify_post,com.apple.sharingd.AppleIDChanged
/usr/libexec/sharingd,notify_post,com.apple.sharingd.AppleAccountSignIn
/usr/libexec/sharingd,notify_post,com.apple.sharingd.AppleAccountSignOut
/usr/libexec/slapd,notify_post,com.apple.slapd.startup
/usr/libexec/slapd,notify_post,com.apple.slapd.shutdown
/usr/libexec/keybagd,,??
/usr/libexec/coreduetd,notify_post,com.apple.coreduetd.daemonStarted
/usr/libexec/IOAccelMemoryInfoCollector,notify_post,com.apple.gpumemd.check_in_request
/usr/libexec/eoshostd,,??
/usr/libexec/configd,notify_post,com.apple.system.config.network_change
/usr/libexec/configd,notify_post,com.apple.system.config.network_change.nwi
/usr/libexec/configd,notify_post,com.apple.system.config.proxy_change
/usr/libexec/configd,notify_post,com.apple.system.config.network_change.dns
/usr/libexec/configd,notify_post,com.apple.system.hostname
/usr/libexec/diagnosticd,notify_post,com.apple.system.logging.prefschanged
/usr/libexec/diagnosticd,notify_register_dispatch,SignificantTimeChangeNotification
/usr/libexec/mdmclient,notify_post,com.apple.ManagedClient.ActivationLockAllowedStateDidChange
/usr/libexec/mdmclient,xpc_set_event,com.apple.reachability
/usr/libexec/syspolicyd,notify_post,com.apple.security.assessment.rearm
/usr/libexec/syspolicyd,notify_post,com.apple.syspolicyd.kext.blocked
/usr/libexec/syspolicyd,notify_post,com.apple.syspolicyd.kext.open_kext_deprecation_kb
/usr/libexec/syspolicyd,notify_post,com.apple.syspolicyd.kext.open_security_preferences
/usr/libexec/bootpd,notify_post,com.apple.bootpd.DHCPDisabledInterfaces
/usr/libexec/bootpd,notify_post,com.apple.bootpd.DHCPLeaseList
/usr/libexec/dmd,notify_post,com.apple.dmd.emergency-mode.alarm
/usr/libexec/dmd,notify_register_check,user.uid.%u.com.apple.notificationcenter.dnd
/usr/libexec/dmd,notify_register_dispatch,com.apple.mobile.keybagd.first_unlock
/usr/libexec/dmd,notify_register_dispatch,com.apple.system.config.network_change
/usr/bin/thermal,notify_post,nominal
/usr/bin/thermal,notify_post,moderate
/usr/bin/thermal,notify_post,heavy
/usr/bin/thermal,notify_post,trapping
/usr/bin/thermal,notify_post,sleeping
/usr/bin/thermal,notify_register_check,nominal
/usr/bin/thermal,notify_register_check,moderate
/usr/bin/thermal,notify_register_check,heavy
/usr/bin/thermal,notify_register_check,trapping
/usr/bin/thermal,notify_register_check,sleeping
/usr/libexec/airportd,notify_post,com.apple.bluetooth.status
/usr/libexec/pkd,notify_post,com.apple.pluginkit.annotation-change
/usr/libexec/thermald,notify_register_dispatch,com.apple.thermald.reduce_utility_sfi
/usr/libexec/thermald,notify_post,nominal
/usr/libexec/thermald,notify_post,moderate
/usr/libexec/thermald,notify_post,heavy
/usr/libexec/thermald,notify_post,trapping
/usr/libexec/thermald,notify_post,sleeping
/usr/libexec/tzlinkd,notify_post,SignificantTimeChangeNotification
/usr/libexec/trustd,notify_post,com.apple.trustd.secexperiment.asset-updated
/usr/libexec/trustd,notify_post,com.apple.trustd.asset-check-in
/usr/libexec/trustd,notify_post,com.apple.trustd.kill-switch
/usr/libexec/trustd,notify_post,com.apple.trustd.ct.exceptions-changed
/usr/libexec/trustd,notify_post,com.apple.trustd.valid.db-changed
/usr/libexec/trustd,notify_register_dispatch,com.apple.trustd.secexperiment.asset-updated
/usr/libexec/trustd,notify_register_dispatch,com.apple.trustd.asset-updated
/usr/libexec/trustd,notify_register_dispatch,com.apple.trustd.asset-check-in
/usr/libexec/trustd,notify_register_dispatch,com.apple.trustd.secexperiment.asset-updated
/usr/libexec/trustd,notify_register_dispatch,com.apple.trustd.valid.db-changed
/usr/libexec/nsurlsessiond,notify_post,com.apple.nsurlsessiond.started
/usr/libexec/displaypolicyd,notify_post,com.apple.gpuwrangler.egpu.removed.unsafe
/usr/libexec/displaypolicyd,notify_post,com.apple.gpuwrangler.egpu.removed
/usr/libexec/displaypolicyd,notify_post,com.apple.gpuwrangler.egpu.added
/usr/libexec/displaypolicyd,notify_post,com.apple.gpuwrangler.egpu.hwadded
/usr/libexec/displaypolicyd,notify_post,com.apple.gpuwrangler.egpu.unsupported
/usr/libexec/secd,notify_post,com.apple.security.publickeyavailable
/usr/libexec/secd,notify_post,com.apple.security.publickeynotavailable
/usr/libexec/secd,notify_post,com.apple.security.itembackup
/usr/libexec/secd,notify_post,com.apple.security.keychainchanged
/usr/libexec/secd,notify_post,com.apple.security.octagon.trust-status-change
/usr/libexec/secd,notify_post,com.apple.security.secureobjectsync.recoverykeychanged
/usr/libexec/wifid (10.14 or earlier),notify_post,com.apple.bluetooth.status
/usr/libexec/SidecarRelay,??,com.apple.sidecar-relay.discovery
/usr/libexec/rapportd,notify_post,com.apple.rapport.CompanionLinkDeviceAdded
/usr/libexec/rapportd,notify_post,com.apple.rapport.CompanionLinkDeviceRemoved
/usr/libexec/rapportd,notify_post,com.apple.airplay.prefsChanged
/usr/libexec/rapportd,notify_post,com.apple.rapport.identitiesChanged
/usr/libexec/rapportd,notify_post,com.apple.rapport.familyFlagsChanged
/usr/libexec/rapportd,notify_post,com.apple.rapport.prefsChanged
/usr/libexec/mobileassetd,notify_post,com.apple.MobileAsset.DownloadsNotReady
/usr/libexec/mobileassetd,notify_post,com.apple.MobileAsset.DownloadsReady
/usr/libexec/sysdiagnose_helper,notify_post,com.apple.systemstats.sample-processes-now
/usr/libexec/sysdiagnose_helper,notify_register_dispatch,com.apple.systemstats.sample-processes-done
/usr/libexec/nesessionmanager,notify_post,com.apple.nesessionmanager.info
/usr/libexec/nesessionmanager,notify_post,com.apple.networkextension.fallback_in_use
